,district,R,Rproj
0,Alappuzha,2.194601386,3.867043326
1,Ernakulam,1,1
2,Idukki,,
3,Kannur,3.059030544,5.941673307
4,Kasaragod,0.038613167,-1.307328398
5,Kollam,0.730122951,0.352295083
6,Kottayam,1.148835284,1.357204682
7,Kozhikode,0.179942488,-0.968138029
8,Malappuram,1.634255663,2.522213591
9,Palakkad,4.87481515,10.29955636
10,Pathanamthitta,1.078766725,1.18904014
11,Thiruvananthapuram,,
12,Thrissur,0.861370564,0.667289353
13,Wayanad,0.989878827,0.975709185
