,district,R,Rproj
0,Ariyalur,0.16803695114092365,-0.9967113172617832
1,Chennai,0.37498910074165326,-0.500026158220032
2,Coimbatore,2.0210136973632933,3.4504328736719043
3,Cuddalore,-4.9401712527204165,-13.256411006529
4,Dharmapuri,1.0633011123799037,1.1519226697117688
5,Dindigul,1.5162877779321158,2.239090667037078
6,Erode,0.4712721921344074,-0.26894673887742226
7,Kancheepuram,3.91152294774149,7.9876550745795765
8,Karur,1.2250477858960849,1.5401146861506037
9,Madurai,4.467639500386969,9.322334800928726
10,Nagapattinam,0.39927244351471436,-0.44174613556468567
11,Namakkal,0.8487090070372962,0.636901616889511
12,Perambalur,1.126447378926615,1.3034737094238757
13,Pudukkottai,,
14,Ramanathapuram,0.6013957666905299,0.043349840057271605
15,Salem,0.6883454284611463,0.25202902830675117
16,Sivaganga,0.6318437294238639,0.11642495061727332
17,Thanjavur,0.7859802394174599,0.4863525746019036
18,Theni,1.1563150351167302,1.3751560842801525
19,Thiruvallur,1.505800455839249,2.213921094014198
20,Thiruvarur,-0.4420802489484428,-2.4609925974762623
21,Thoothukkudi,-0.36319966988518115,-2.2716792077244348
22,Tiruchirappalli,-0.386294361119891,-2.327106466687739
23,Tirunelveli,0.906281671269624,0.7750760110470976
24,Tiruvannamalai,-0.6374801720367307,-2.9299524128881536
25,Vellore,1.5687952671938934,2.365108641265344
26,Viluppuram,2.657549521136126,4.978118850726704
27,Virudhunagar,1.6718673733505582,2.6124816960413395
