,district,R,Rproj
0,Akola,2.690371344983169,5.056891227959605
1,Amravati,3.4526373892192037,6.88632973412609
2,Aurangabad,-1.5297729002623894,-5.071454960629734
3,Chandrapur,,
4,Dhule,0.7567209351351015,0.41613024432424367
5,Hingoli,-1.1014993247790699,-4.043598379469768
6,Jalgaon,1.277372428850414,1.6656938292409937
7,Jalna,0.23217793478288573,-0.8427729565210743
8,Kolhapur,0.8770969700897228,0.7050327282153346
9,Latur,1.0182705131276537,1.0438492315063688
10,Mumbai,1.6857021348466468,2.645685123631952
11,Nagpur,1.0373432542364946,1.0896238101675872
12,Nanded,,
13,Nandurbar,0.7431431760350719,0.38354362248417245
14,Nashik,1.369874180865993,1.8876980340783835
15,Osmanabad,0.9924657915156528,0.9819178996375668
16,Parbhani,3.4849066497879826,6.963775959491159
17,Pune,2.6934626811299642,5.0643104347119134
18,Ratnagiri,1.1335506823758708,1.3205216377020896
19,Sangli,2.732867951399855,5.158883083359653
20,Satara,1.6423159923032018,2.5415583815276843
21,Sindhudurg,1.0,1.0
22,Solapur,-0.03972077083991943,-1.4953298500158068
23,Thane,1.5731103874091088,2.3754649297818613
24,Washim,,
25,Yavatmal,0.79913268893118,0.5179184534348319
